,Retorno,Risco,Sharpe,PETZ3.SA Peso,VIVA3.SA Peso,VIIA3.SA Peso,AZUL4.SA Peso
179,-0.3621774463345689,0.5825400859327883,-0.6217210713570633,0.272,0.127,0.324,0.277
180,-0.30817758237039233,0.4991649802902017,-0.617386224072101,0.284,0.428,0.248,0.04
181,-0.32801037365890223,0.5557386292971042,-0.5902241743996964,0.249,0.216,0.289,0.246
182,-0.308840993616437,0.5200653891181345,-0.5938503120542844,0.257,0.339,0.272,0.133
183,-0.19718146162839503,0.5386878572250767,-0.3660402939916425,0.095,0.355,0.258,0.291
184,-0.36537982605113195,0.5477976471097799,-0.6669978010655987,0.328,0.244,0.081,0.347
185,-0.3440054670492978,0.5444529542281712,-0.6318369004663915,0.281,0.238,0.268,0.213
186,-0.4410441815951623,0.5596581118843728,-0.7880600177672106,0.423,0.175,0.064,0.338
187,-0.3855213819381998,0.49656000360902397,-0.7763842821334991,0.403,0.414,0.158,0.024
188,-0.36581514711479257,0.6313171183960736,-0.5794475335061146,0.236,0.021,0.47,0.274
189,-0.20013705686078073,0.47637338182460803,-0.4201264480694002,0.176,0.564,0.033,0.227
190,-0.23259388006136986,0.45777556046035633,-0.5080958883594937,0.235,0.604,0.056,0.105
191,-0.2649685426229934,0.49970307260442876,-0.5302519779235895,0.23,0.429,0.093,0.248
192,-0.30236553391710164,0.5521246514502208,-0.5476399815203011,0.219,0.271,0.4,0.109
193,-0.24091321220648634,0.6226427924550961,-0.38692042231238155,0.108,0.164,0.211,0.517
194,-0.2834649280388218,0.5264154485206208,-0.5384814006417173,0.215,0.328,0.284,0.173
195,-0.31165188173860914,0.5236703195132304,-0.59512993218386,0.28,0.349,0.049,0.322
196,-0.3803805996132767,0.5628536063438302,-0.6758073419554742,0.332,0.189,0.117,0.362
197,-0.26587680853174434,0.5725289943413023,-0.4643901202551969,0.154,0.216,0.313,0.316
198,-0.2502564535887302,0.5079248200760689,-0.4927037303498002,0.19,0.415,0.29,0.105
199,-0.2591171515590007,0.46075339784745484,-0.5623770823384977,0.269,0.581,0.045,0.105
200,-0.21680640612139634,0.5294417125558414,-0.4095000468980413,0.127,0.396,0.391,0.086
201,-0.5048774233727813,0.617350671036961,-0.8178130308415169,0.457,0.06,0.469,0.015
202,-0.2709267487681648,0.48761720866497216,-0.5556135918786058,0.249,0.5,0.243,0.009
203,-0.33479483872733484,0.5792132182188273,-0.5780165717848812,0.241,0.153,0.286,0.32
204,-0.2378544031041934,0.565584331921372,-0.42054630879919797,0.123,0.293,0.471,0.113
205,-0.2817816220062244,0.5001634800706272,-0.5633790415214532,0.241,0.411,0.223,0.125
206,-0.15568246006449152,0.5216307563794043,-0.29845337561203356,0.053,0.454,0.379,0.113
207,-0.3596674220773079,0.5054993275194759,-0.7115091999077894,0.366,0.384,0.0,0.25
208,-0.17720747607320017,0.6165327653150586,-0.2874258856017882,0.026,0.223,0.258,0.493
209,-0.25228704042902433,0.5467760577501016,-0.4614083532975936,0.177,0.322,0.126,0.376
210,-0.5163789978764595,0.5826653644233508,-0.8862359587608347,0.504,0.072,0.098,0.326
211,-0.29090012429591616,0.5795721574442421,-0.501922186149707,0.184,0.183,0.285,0.347
212,-0.4756900563400302,0.5994800880726933,-0.7935043478580857,0.439,0.056,0.088,0.416
213,-0.3166480871164388,0.5888259991848999,-0.5377617285153313,0.208,0.142,0.321,0.329
214,-0.09208947652966216,0.498707943720779,-0.184656125271632,0.019,0.595,0.08,0.306
215,-0.436682911869738,0.5940100041534061,-0.7351440359865765,0.372,0.113,0.441,0.074
216,-0.16154377663342231,0.5431976792640635,-0.2973940846954381,0.041,0.394,0.426,0.138
